,labels,target,yt8m_id,yt_id
365,"[18, 43, 59, 60, 101, 286]",outdoors,fvhl,AKZZYErczFk
366,"[15, 60, 363, 519, 1238, 2972]",outdoors,VFhl,cfZdelr5Jtw
367,"[60, 428, 794, 825]",outdoors,WRhl,5ZFC2YjqKMU
368,"[2, 43, 60, 76, 101, 549, 571, 693, 906]",outdoors,3Phl,MrRbisRIqKA
369,"[11, 83, 262, 506]",outdoors,5Nhl,t7vP0EO9b9g
370,"[0, 262, 542]",outdoors,Sehl,ZZCz1NkkPIA
371,"[88, 184, 380, 2536]",indoors,Ohhl,8quObyIvCII
372,"[15, 18, 60, 87, 318, 365]",outdoors,tihl,LVzLTjATkIY
373,"[18, 43, 59, 60, 101]",outdoors,FLhl,khiB1UD7vNg
374,"[88, 184, 380]",indoors,VPhl,dnptfysf4XY
375,"[11, 20, 22, 29, 32, 211, 307, 506, 791]",indoors,ELhA,oxS9qilCBc4
376,[1226],outdoors,UKhA,bs0ytmV5Mh0
377,"[60, 291]",outdoors,c2hA,re6aN_kbePs
378,"[15, 18, 43, 59, 60, 101, 823]",outdoors,5ehA,IPGKIViK8N0
379,[248],outdoors,xThA,ALX6jN3yyes
380,"[60, 210]",outdoors,5nhA,8NJH5UKYsSM
381,"[60, 68, 72, 98, 240]",outdoors,1xhA,AgHHF9fNdVA
382,"[2, 43, 60, 76, 571]",outdoors,WZhA,M8HVEPcuXeQ
383,"[88, 184, 416, 514]",indoors,GxhA,scCavt-ay6g
384,"[11, 83, 262]",outdoors,MLhA,SSwHBzltdAI
385,"[60, 141, 299, 746, 1289]",outdoors,g2hA,tT92LVxWeOA
386,"[2, 7, 88, 184, 307, 380, 1013]",indoors,CbhA,o4JMQHC9x9A
387,"[53, 58, 60, 163, 166, 232]",outdoors,MdhA,7DbFWfrD100
388,[2211],outdoors,D2hR,8Go0zSojIEM
389,"[11, 262, 1613]",outdoors,NDhR,50-CJGkgjF8
390,"[60, 166, 333, 398]",outdoors,UOhR,K7P6fEFwoPc
391,"[148, 184]",indoors,rihR,x-fSsEEyX6Y
392,"[291, 666]",outdoors,ALhR,B5yjKd43dB4
393,"[43, 60, 101]",outdoors,XjhR,_gBUmxHVf_E
394,"[17, 19, 60, 340]",outdoors,tNhR,V88EO7JvhuE
395,"[53, 58, 60, 163, 166, 232, 690]",outdoors,5chR,XW-bW9pOnxI
396,[184],indoors,4KhR,nPUUbxbgwQI
397,"[60, 353]",outdoors,4YhR,O-eIx_asKwU
398,"[18, 43, 59, 60, 101, 286, 419]",outdoors,tXhR,0A_dnvowLrY
399,[60],outdoors,0rhR,bW7XoyHVwbA
400,"[53, 58, 60, 214]",outdoors,xKhR,bZDj9EG2gdA
401,"[60, 353, 519, 666]",outdoors,uWhR,w1QdKfuZl1U
402,"[2, 83, 262, 820]",outdoors,QNhR,5_D3tSYvsRQ
403,"[15, 18, 60, 87, 365, 536, 2832]",outdoors,u1hR,MqBdejEHMuY
404,"[60, 519, 1918]",outdoors,zIhR,lhE7nXHslc0
405,"[18, 43, 59, 60, 101, 1975]",outdoors,1dhR,469YdzFx8O4
406,"[248, 1389]",outdoors,wXhR,meunWstlPFc
407,"[205, 598, 857, 1245]",indoors,qRhR,7vrufmAcfZs
408,"[60, 419, 1271, 1393]",outdoors,LNhR,bNfRczQGKKs
409,"[88, 184, 380, 614]",indoors,z6hS,reZfAixUlE8
410,"[43, 248]",outdoors,GihS,5xuUTY9po1A
411,"[88, 184, 242, 254, 380, 470, 614]",indoors,WnhS,IzOMWad3SJc
412,"[88, 184, 307, 380, 416, 514, 614, 899, 1299]",indoors,1uhS,A-9hhz0aEiE
413,"[39, 514, 2305]",indoors,ZJhS,nQOkCrDQnuc
414,"[60, 72, 980]",outdoors,iphS,iPve92lJzPg
415,"[184, 380, 400, 1152, 1608]",indoors,0shS,hZYVsg5q7a4
416,"[184, 380, 400, 614, 1608]",indoors,PFhS,czRVUUr8Adk
417,"[205, 598, 1245]",indoors,X4hS,b6qKAuyamkg
418,"[0, 1, 262, 542]",outdoors,hvhS,gdZJDiiCoIY
419,"[60, 365]",outdoors,zHhS,fzxjg5ErwJA
420,"[88, 184, 307, 416, 514]",indoors,xMhS,-NtQslRYxDw
421,"[60, 519, 666, 2626]",outdoors,ZohS,7QDDHz_xyRs
422,"[2, 60, 76, 385, 1055]",outdoors,kahS,7DIi5qZpSjc
423,"[60, 333, 2438]",outdoors,sPhS,ZrdVgRW2_-w
424,"[60, 210, 685]",outdoors,EZh3,qvSQWtzsJy4
425,"[2, 18, 43, 59, 60, 76, 101]",outdoors,1Wh3,bpXIR_Poguc
426,"[15, 18, 43, 59, 60, 101, 374, 823]",outdoors,Wxh3,KD1PWPM4E4o
427,"[184, 2180]",indoors,0Ah3,p-CnzMjXZN8
428,"[43, 60]",outdoors,66h3,MNg--HldqeI
429,"[248, 289]",outdoors,vRh3,hRRo0aVztmE
430,"[60, 153]",outdoors,Sjh3,AZe_Hd3Xl4w
431,"[191, 248, 299]",outdoors,b9h3,LtAXLKU1lDE
432,"[18, 43, 59, 60, 101]",outdoors,ith3,twmqms-2_Nc
433,"[88, 184, 416]",indoors,Jnh3,URjdxK5ZaRs
434,"[191, 248, 299]",outdoors,24h3,ooMgJ6-Yq7w
435,"[43, 60, 238, 274]",outdoors,Kth3,ll61IH1swT0
436,"[0, 1, 83, 254, 262, 542]",outdoors,KOh3,uaVKWIi2IqA
437,"[88, 184, 307, 380, 514, 614, 2536]",indoors,G0h3,Ehcmwo3xg_c
438,"[18, 43, 59, 60, 101, 120, 668, 2462]",outdoors,W4h3,40Tt6-F_nTo
439,"[0, 42, 262, 306]",outdoors,UXh3,9foW3d99hkE
440,"[2, 30, 55, 60]",outdoors,JVh3,9sQK_AF2IoI
441,"[15, 18, 43, 59, 60, 101, 286, 374]",outdoors,nph3,upgbqHS64E4
442,"[2, 43, 60, 76, 90, 101, 385]",outdoors,F6ih,ebpNDwUBYBA
443,"[60, 160, 273]",outdoors,s2ih,_iDYbC1Dxgs
444,[184],indoors,u3ih,CQ51G81-t5w
445,[248],outdoors,twih,R3IL1ZPTNqs
446,"[88, 307, 416, 514, 2885]",indoors,Mmih,VDCr6U94X4s
447,[262],outdoors,guih,9ymjpm51_z8
448,"[18, 43, 59, 60, 101, 286, 374, 873, 1975]",outdoors,6Eih,4N07kOidUl4
449,"[2, 15, 18, 43, 59, 60, 76, 101]",outdoors,meih,AIPmOTl1Yl0
450,"[60, 419, 1271, 1393]",outdoors,Saih,qngdEmR2l48
451,"[307, 313, 364, 3330]",indoors,7Nih,YUJwQZYkLSY
452,"[15, 60, 239, 363, 686, 1714]",outdoors,89ih,5i0a3zcKUV4
453,"[2, 7, 307, 402]",indoors,ieih,jFPBL9YFIYA
454,"[18, 43, 59, 60, 101, 286]",outdoors,rXih,_JeEw8VHaU0
455,"[353, 519, 666]",outdoors,0zih,YMKBx6cHb6Q
456,"[60, 284, 291]",outdoors,hRih,F1yaxtI1b3w
457,"[53, 58, 60, 163, 232, 494]",outdoors,Obih,7aX8ijyMKbs
458,"[2, 7, 83, 262, 541]",outdoors,Rjih,VTGe4tJPURI
459,"[1245, 2456]",indoors,uVih,jibDy93nqRc
460,"[53, 58, 60, 163, 232]",outdoors,86iw,crnzmnUybnI
461,"[53, 58, 60, 163, 232]",outdoors,Xoiw,4ssyjERnlwQ
462,"[88, 184, 380, 416, 614]",indoors,fJiw,FRCwSVvLozU
463,[1245],indoors,Tsiw,XRr_AUFPez8
464,"[26, 262]",outdoors,9Eiw,P7tfXlhdD64
465,[60],outdoors,hFiw,Usv2hi8u4DE
466,"[15, 262, 502, 619, 3169]",outdoors,dLiw,EpSLGj7Q4mQ
467,"[18, 43, 59, 60, 101]",outdoors,kmiw,-5rSLe0aC5g
468,"[307, 420, 2039]",indoors,priw,WF5nB_Ms3OE
469,"[15, 262, 502, 619, 713]",outdoors,5qiw,vevczQuVpe4
470,"[313, 2105]",outdoors,mfiw,d198w0Z_U9Y
471,[666],outdoors,0Aiw,wQuP_AoQ3A0
472,"[18, 43, 59, 60, 101]",outdoors,EKiw,OokbCOAtirs
473,"[307, 616, 966, 1025]",indoors,FViw,WoOW6jbCw2c
474,"[246, 514]",indoors,04iw,Iw6rIXnq-3Y
475,"[60, 1982]",outdoors,6Siw,_DJ7wsa-XTE
476,"[15, 18, 60, 87, 365, 536, 619, 2832]",outdoors,sJiw,ZGk-8afhK0U
477,"[60, 310]",outdoors,DJiw,rjC9fW3T0rg
478,[248],outdoors,TUiw,ovrgyl90vds
479,"[60, 1626]",outdoors,JFiy,eboPxpdxbNc
480,"[15, 18, 60, 87, 545]",outdoors,4Giy,8HZ2pyX5sdE
481,"[53, 58, 60, 163, 232, 427]",outdoors,6Diy,NKz-uxTfNdA
482,"[60, 353, 519, 666]",outdoors,xHiy,ZUcKWI8a76w
483,[248],outdoors,Nriy,w_c2X6fsS3I
484,"[53, 58, 60, 163, 428, 3524]",outdoors,jpiy,tyO2usgqdOU
485,"[88, 184, 191, 364, 1013]",indoors,mJiy,gXyIUBrWY64
486,"[88, 307, 497]",indoors,Spiy,mV0PJIbbf-k
487,"[2, 44, 46, 60, 64, 179, 664, 965]",outdoors,EJiy,goG9l_IVxOM
488,"[18, 43, 59, 60, 101, 286]",outdoors,myiy,Gu0hP7wDWow
489,[248],outdoors,dNiy,xmCptiFn8XY
490,"[18, 43, 59, 60, 101, 286]",outdoors,Jwiy,q5Ik6bVqGRE
491,"[88, 184, 313, 364]",indoors,Rwiy,W2LLatkzljY
492,"[18, 43, 59, 60, 101, 286, 549, 1637]",outdoors,RAjd,LKWgGq7_g-Y
493,"[0, 42, 262, 306]",outdoors,Nujd,DcDiTjCxCVM
494,"[15, 18, 43, 59, 60, 101]",outdoors,CUjd,VFoGeEYbXFk
495,"[18, 43, 59, 60, 101, 286]",outdoors,Zsjd,EXK1ejqk_cM
496,"[191, 248]",outdoors,cWjd,0aeLoCCp_0s
497,"[2, 17, 30, 60]",outdoors,nojd,NTuLXl3mGyE
498,"[60, 385, 1055, 1393]",outdoors,kUjd,VyPiR_znWng
499,"[15, 262, 502, 619, 713]",outdoors,cqjd,0z7XpwnJcpw
500,"[191, 248]",outdoors,17jd,XEslOQZHOko
501,"[146, 248, 332]",outdoors,ksjd,qaZOCJ8-yak
502,"[18, 43, 59, 60]",outdoors,8Pjd,QHlA4tifrk0
503,"[60, 353, 1765]",outdoors,PRjd,QI76FrYJUQU
504,"[15, 18, 43, 59, 60, 101, 286]",outdoors,GWjd,fJBMFqOAeno
505,"[307, 364, 1299]",indoors,JLjd,T9rnNR9_DY8
506,"[2, 30, 55, 60]",outdoors,zWjd,jr3dNNOsUGQ
507,"[60, 160, 273]",outdoors,REjw,LjsAS5sYK1M
508,"[15, 18, 60, 87, 244]",outdoors,Fqjw,08cgX2fLc3Y
509,"[15, 18, 60, 87, 365, 536, 545]",outdoors,kPjw,Xs9he9IsD7U
510,"[15, 18, 60, 87, 333, 365]",outdoors,NOjw,pD1Dgqz8sLw
511,"[2, 7, 83, 262, 751]",outdoors,nSjw,Hvz0KO1o3e8
512,"[2, 18, 43, 59, 60, 76, 101]",outdoors,47jw,31bvDXpOUhY
513,"[60, 239, 686]",outdoors,NDjw,kSDwbwDCBQE
514,[307],indoors,22jw,fZBvSAvTjxc
515,"[43, 248]",outdoors,18jw,gW_eTp2CA_M
516,"[248, 398, 482, 501, 664, 1290]",outdoors,Ghjw,qKqoTPujmXY
517,"[88, 184, 364, 416]",indoors,LBjw,Zu0AaoQhkBA
518,"[88, 184, 191, 299, 380, 416, 614]",indoors,kqjI,RzD2h1tyfuY
519,[666],outdoors,KmjI,_d4aXlNMp9s
520,"[18, 43, 59, 60, 101, 286]",outdoors,lHjI,sFW_s9RFSLo
521,"[18, 43, 59, 60, 101, 419, 823, 991, 2952]",outdoors,c9jI,zFK85uCihoc
522,"[60, 353, 673]",outdoors,TPjI,VAX1MPk-6jE
523,"[15, 18, 43, 59, 60, 101, 2735]",outdoors,VijI,4oKvooZkNls
524,"[60, 353, 673, 1615]",outdoors,REjI,hTJt1nJsPiA
525,"[19, 53, 58, 60, 163, 232]",outdoors,86jI,iDFo10c-ypk
526,"[60, 126, 291]",outdoors,53jI,-9M2tVgdUtA
527,"[60, 239, 2625]",outdoors,KdjI,zkB_-330pzA
528,"[2, 18, 43, 59, 60, 76, 101, 286, 1824]",outdoors,i0jI,zudMwbOtRSM
529,[1245],indoors,MYjI,I72DFAqhIfM
530,[248],outdoors,bHjI,jvlD57raMZk
531,"[0, 1, 27, 262]",outdoors,mFjI,Hb_nNjOirus
532,"[60, 248]",outdoors,3OjI,N1BwYybJ1GM
533,"[60, 353, 673]",outdoors,SZjI,Ndr1Lo73Nnc
534,"[53, 58, 60, 163, 232]",outdoors,98jR,re_15Mdt5QA
535,[248],outdoors,a1jR,SbxMi2DLTqc
536,"[514, 1443]",indoors,cUjR,JTQYU9gJUKc
537,"[2, 7, 88, 184, 307, 402, 416]",indoors,NzjR,1x-nfMrcH70
538,"[0, 1, 254, 262, 542, 751]",outdoors,ifjR,mDTD5j8ugOg
539,"[60, 160, 231, 491]",outdoors,fGjR,gLRzkE4dcN0
540,"[15, 18, 43, 59, 60, 101, 1032]",outdoors,7njR,97hGmn1GjLM
541,"[11, 22, 307, 406]",indoors,gFjR,Ag-KmLS5Lio
542,"[60, 353, 519]",outdoors,aYjR,7pmMp_uPUoE
543,"[400, 416, 514]",indoors,CrjR,dvVh4yWom7A
544,"[18, 43, 59, 60, 101, 286]",outdoors,OHjR,q_lH6i3TjHQ
545,"[60, 519]",outdoors,zrjR,gCjSIRVUxAo
546,[248],outdoors,BSjR,3VZhHvt1Jks
547,"[18, 43, 59, 60, 101]",outdoors,YTjW,Z-jXPa74jRo
548,"[88, 184, 364, 416]",indoors,etjW,qQTqzcSFbp4
549,"[15, 18, 43, 59, 60, 101, 286, 2350]",outdoors,ImjW,RUXN2PpZMaA
550,"[18, 59, 60, 238, 274, 289, 366]",outdoors,1EjW,3JChV7eUbfg
551,"[2, 17, 60, 95, 490]",outdoors,bZjW,P34-7Ew2SKs
552,"[60, 519]",outdoors,wUjW,P5ozqBHcY6w
553,"[60, 68, 72, 151]",outdoors,ftjW,nOvuxOkvro8
554,"[2, 43, 60, 76, 549, 571]",outdoors,DDjW,bdbPRUuaLqE
555,"[18, 43, 59, 60, 374]",outdoors,i2jW,JzYPAX_YZsk
556,"[83, 262, 2000, 3230]",outdoors,7wjW,unBS-xQ4V3g
557,"[60, 68, 72]",outdoors,r3jW,Y2wd9BF4vtw
558,"[60, 385]",outdoors,VyjW,VKBm_ijBZks
559,"[60, 519, 669]",outdoors,fKjW,JRQgyFZ59yA
560,"[88, 184, 307, 380, 416]",indoors,XWjW,mfzqjMUlkcw
561,"[5, 16, 614]",indoors,XXj6,T37lxbS-q5s
562,[307],indoors,Kej6,Tffc9nlKPZo
563,"[11, 20, 22, 29, 32, 122, 123, 307, 406]",indoors,TKj6,JjsM2DeyyZM
564,"[60, 180, 239]",outdoors,Fvj6,BNW2JdwJbxg
565,"[60, 166, 353, 673]",outdoors,5Kj6,y7YcAw1nIFU
566,"[53, 58, 60, 163, 166, 232, 427]",outdoors,wLj6,bXldW_8LFj8
567,"[60, 353, 385, 419, 1271, 1393]",outdoors,EBj6,tftusIw_-MQ
568,"[18, 43, 59, 60, 101, 286, 374, 549]",outdoors,Raj6,25DBLl-0qx8
569,"[113, 289, 666]",outdoors,bpj6,PDwiBERCVpo
570,"[191, 248]",outdoors,kHj6,fReIgS_C6No
571,"[18, 43, 59, 60]",outdoors,TWj6,asXJUcAZn0g
572,"[60, 210, 698, 2390]",outdoors,Fdj6,gBYQawQ1xTs
573,"[18, 43, 59, 60, 101, 549]",outdoors,cDj6,xmKP6Ni7Qqs
574,"[18, 43, 59, 60, 101]",outdoors,Noj6,q4-uKxlTBDs
575,"[15, 60, 239, 686, 1880, 2625]",outdoors,05j6,_0bBq70vbv0
576,"[2, 18, 43, 59, 60, 76, 101, 281]",outdoors,sTkr,eQOJIGHEuC4
577,[248],outdoors,JQkr,uLzCIAJAFQw
578,"[0, 60, 1056]",outdoors,idkr,_hlIJoWrUbk
579,"[15, 18, 87, 248]",outdoors,cwkr,qs8mqzNhRxI
580,"[2, 60, 76, 385, 419, 1055, 2696]",outdoors,iZkr,4NKE4pNFr9o
581,"[88, 184, 307, 380, 400, 416]",indoors,zrkr,YXOugLystcs
582,"[11, 20, 22, 29, 32, 307, 426, 2462]",indoors,HXkr,Eydie3DAFhE
583,"[53, 58, 60, 160, 273, 1139]",outdoors,Lwkr,31BdEsuCDtU
584,"[182, 248, 634]",outdoors,yzkr,4865h3w-Pw8
585,"[2, 18, 43, 59, 60, 76, 101]",outdoors,ZTkr,u_O-k6AcO8o
586,"[451, 1245]",indoors,Eokr,S2JRMLKcqEs
587,"[5, 16, 614]",indoors,3Lkr,CAKPE7DVk8g
588,"[191, 248, 299, 746]",outdoors,dVkr,5PFG65eZrGc
589,"[60, 353]",outdoors,5UkN,qRcI_JlUoHY
590,"[18, 67, 380, 400, 1608]",indoors,ZykN,WSRm2m90paQ
591,"[18, 43, 59, 60, 101, 286, 991, 1415]",outdoors,lPkN,NKH2VoRvKnw
592,"[182, 248]",outdoors,wbkN,WqanTfa06ls
593,"[43, 248]",outdoors,W1kN,nJJlTOiyag0
594,"[60, 160, 231, 273, 1423]",outdoors,51kN,f9fmEhVSSXc
595,"[26, 83, 262]",outdoors,h4kN,fEvG8gmUmnc
596,"[184, 277, 388]",indoors,OokN,w_R81fDl5jM
597,"[15, 18, 60, 87, 536]",outdoors,3LkN,dAaJWYoiZVg
598,"[11, 22, 307, 1891]",indoors,RykN,goqtMqqjlQU
599,"[18, 43, 59, 60, 101]",outdoors,JzkN,fZd21-GLrvM
600,"[60, 353, 673]",outdoors,8TkN,3O-QKstghlY
601,"[60, 163, 427]",outdoors,BckN,bCIJqy4_NHI
602,"[60, 160, 273]",outdoors,2SkN,vTZtGnkE8Kw
603,"[18, 67, 598, 1245]",indoors,c9kV,Z07E8yEhPi8
604,"[205, 598, 1245, 1776]",indoors,0nkV,oTiy_rrj1Js
605,"[11, 20, 22, 29, 32, 122, 173, 307, 1792]",indoors,0mkV,z2xN8U_Wtd0
606,"[53, 58, 60, 163, 232, 284]",outdoors,ArkV,DTDHhv7NE7I
607,"[88, 184, 380, 400, 614]",indoors,KekV,2LvJQGVwqms
608,"[191, 248, 299, 311]",outdoors,WJkV,LuRrVJuNpxY
609,"[15, 18, 60, 87, 333, 365, 536]",outdoors,EikV,WC8chpcQ9zc
610,[1226],outdoors,wIkV,7tjX41fbJyk
611,"[160, 273, 666, 888]",outdoors,ZdlE,kQJ7NjZ1hdM
612,"[205, 598, 1245, 1776]",indoors,hhlE,qSXbQuKPD34
613,[666],outdoors,BhlE,f3GDaGVJmPc
614,"[0, 60, 432, 1056, 1865]",outdoors,MFlE,Sd33h1w5KAE
615,"[0, 1, 83, 254, 262, 542]",outdoors,PXlE,VYO3NCrJNVY
616,"[11, 20, 22, 29, 32, 122, 211, 307, 321, 334, 430, 444, 576, 1157]",indoors,vQlE,LhbiaFKuGqU
617,"[15, 18, 43, 59, 60, 101, 549, 906]",outdoors,7RlE,7kHZ5e1_xkI
618,"[18, 43, 59, 60, 101, 286, 374]",outdoors,yAlE,iIvnwKLV2Fw
619,"[262, 3230]",outdoors,j5lE,Lq_p7krNK8U
620,"[2, 7, 307, 402]",indoors,FilE,gxvnm9OTdCw
621,"[41, 205, 857, 1245]",indoors,BWlE,64nZclPXegg
622,"[2, 18, 43, 59, 60, 76, 101, 385]",outdoors,sFlE,4YBmmknrSiI
623,"[60, 210, 685]",outdoors,n2lE,IEdNgPeS-6Q
624,[1226],outdoors,JVlE,3YfRkqvMs3M
625,"[248, 1334]",outdoors,zElE,HU8ZRjndtWk
626,"[60, 160, 231, 284, 491]",outdoors,4YlE,eY-V5uBHETU
627,"[88, 184, 307, 311, 364, 416, 514]",indoors,VXlE,sP38rAhyL7U
628,"[2, 43, 60, 76]",outdoors,SplE,vTnciM-kwJI
629,"[88, 184, 380, 416]",indoors,f4mc,rPrgp7BwKBg
630,"[18, 43, 59, 60, 101, 286, 549, 693, 906, 2681]",outdoors,Jbmc,xMr3fA6PFWY
631,"[18, 43, 59, 60]",outdoors,4xmc,vAR6-OOkyvU
632,[1226],outdoors,zcmc,jReKFUefI6U
633,"[43, 60, 101, 374, 1975]",outdoors,J9mc,EHsjlRQ-Crs
634,"[43, 101, 248]",outdoors,YOmc,t3a-cZQkWKM
635,[184],indoors,Kymc,6zGzVUIGYdk
636,"[184, 191, 985]",indoors,Gxmc,T8Wab3X2U6s
637,"[60, 239]",outdoors,o6mc,FnKXGDw00a0
638,[307],indoors,46nk,-hVxfN7YONc
639,"[2, 76, 184]",indoors,nYnk,JYtvDSmjhUo
640,[2105],outdoors,c0nk,er3wXR6iqWs
641,"[205, 598, 857, 1245]",indoors,bgnk,CP-P9Lq68Ac
642,"[2, 30, 55, 60, 428]",outdoors,sfnk,X5PS_SY4q-g
643,"[2, 43, 60, 76, 473, 547]",outdoors,iLnk,LE6UzeAOyes
644,"[5, 262]",outdoors,0pnk,0E3aOZ-9Y_M
645,"[11, 15, 96, 173, 262, 397, 619, 1057, 1098]",outdoors,Qunk,J2u7UE0njpQ
646,[60],outdoors,Ngnk,ViRfHkCxD1Q
647,"[60, 291]",outdoors,qInk,69Vym4JLoWE
648,"[2, 7, 83, 262, 2044]",outdoors,rFnk,Hc-37ZvP2u4
649,"[514, 580]",indoors,Asnk,3YwfSZ2iJzo
650,"[15, 18, 43, 59, 60, 101, 374, 385]",outdoors,ngnk,xlscDN8gxqk
651,"[15, 18, 60, 87, 333, 365]",outdoors,Wvnk,rgIbjzs18Rk
652,"[43, 60, 286, 873]",outdoors,ugnk,sSeNrUnKFnQ
653,"[2, 7, 83, 262]",outdoors,hnnk,9RM9dhAgVOc
654,"[289, 666]",outdoors,lAny,4wCBxeHl7sw
655,"[262, 2000]",outdoors,eXny,MSaa69M5XJU
656,"[2, 60, 76, 385, 419, 1393]",outdoors,PYny,YnjumV443_w
657,"[15, 262, 502, 619]",outdoors,hyny,BMRAEhBEdjE
658,"[60, 210]",outdoors,xxny,KXgpdjuQEh0
659,"[2, 83, 262]",outdoors,p0ny,IjTSYB9Vm-I
660,"[53, 58, 60, 163, 232]",outdoors,Yyny,RIlTsHEuF8k
661,"[191, 248, 299]",outdoors,BVny,IZZlhx9zZ24
662,"[60, 428, 825]",outdoors,c8ny,1ginHkCRd6Y
663,[2211],outdoors,Csny,dAw2YKmCqTc
664,"[11, 20, 22, 29, 307, 886]",indoors,zAny,EJFmvZ6Nxc0
665,"[11, 20, 22, 29, 32, 307, 559]",indoors,Czny,K6LZ_VZrBys
666,[3501],indoors,RAny,_IAOp290Rpw
667,"[43, 60, 101, 286, 991, 1824]",outdoors,bXny,ZD27y-gB0ls
668,"[18, 43, 59, 60, 101, 286, 823, 1824]",outdoors,Mlny,kwJkQ_7DPUM
669,"[60, 68, 72, 98, 151, 166, 452, 480]",outdoors,dyny,9tcI5hQNxlU
670,"[262, 542]",outdoors,9vnL,bqtT_A2mpmw
671,"[2, 43, 60, 76, 374, 3040]",outdoors,rRnL,tG2ksw2yYjI
672,"[88, 184]",indoors,AmnL,QReeZoUUvKY
673,"[60, 353, 519, 666]",outdoors,KbnL,c8SA5JOhW9s
674,"[2, 7, 60, 95, 1412]",outdoors,qUnL,JV9-uj6VCLg
675,[184],indoors,B7nL,Dz0nOficYFs
676,"[18, 43, 59, 60, 101]",outdoors,FenL,iAUZkuo94pE
677,"[18, 43, 59, 60, 101, 286, 419]",outdoors,gnnL,7oZB2i6Kvmk
678,"[2, 18, 43, 59, 60, 76, 101, 385]",outdoors,UhnL,3eAeJw0ru5w
679,"[88, 184, 311, 380, 416, 514, 2365]",indoors,YZnL,6iHrf5-nH8Q
680,"[60, 353, 673]",outdoors,eSnL,d5uYVj_zoRU
681,"[15, 60, 239, 686, 1714]",outdoors,p3nL,UFc21vWuuoA
682,"[60, 68, 72, 98, 240, 480]",outdoors,ewnL,dwq51s2b6CA
683,"[307, 341]",indoors,7hnL,Vf6QnBXvuco
684,"[18, 43, 59, 60, 101, 374, 549, 906]",outdoors,ZVnL,5eVQnXdP-ag
685,"[83, 262, 3230]",outdoors,qInL,LZfIOyt5KPU
686,"[60, 72, 98, 240]",outdoors,qXnL,GPw3A-WJ_d8
687,"[60, 419, 669]",outdoors,YNnL,7GI1FqUvWPw
688,"[15, 18, 60, 87, 365]",outdoors,vVnW,nFjYZtDMOOo
689,"[60, 239, 2071]",outdoors,MVnW,qzayoabkDJU
690,"[60, 428, 571, 1055, 2785]",outdoors,25nW,tIiLc565Z1A
691,"[191, 248, 299, 311]",outdoors,9XnW,6Jisgym0dWQ
692,"[15, 18, 60, 87, 365, 536]",outdoors,qwnW,ynrjUJspmCc
693,[248],outdoors,TxnW,JWbrbgE7Yjc
694,"[299, 380, 614]",indoors,ZhnW,TkZhfmB5xxs
695,"[2, 83, 262, 2126]",outdoors,mbnW,JjJxuSO4KA4
696,"[88, 184, 364, 380, 614, 1013]",indoors,IonW,Qngcnj-sR0w
697,"[43, 60, 101, 286]",outdoors,KWnW,VEZXUejCS2Y
698,"[11, 20, 22, 29, 307]",indoors,bXnW,mD76WzfT63A
699,"[276, 380]",indoors,6MnW,uUmg8Mm8KWI
700,"[60, 160, 231]",outdoors,GNnW,yvhJyyypzmc
701,"[15, 173, 262, 502, 619, 747]",outdoors,rjnW,iIHMJFwc2Ik
702,"[18, 43, 59, 60, 101, 286, 1503]",outdoors,NRnW,VOq1cSmnVRs
703,"[0, 262, 542]",outdoors,djnW,5aky21Bq11Y
704,"[88, 184, 497, 514, 2885]",indoors,sInW,lffpj43sTKc
705,"[0, 60, 1056, 1865, 3204]",outdoors,OFnW,xOPWulCCKvM
706,"[15, 83, 262]",outdoors,FcnW,vtKUNmkKmoI
707,"[60, 239, 2625]",outdoors,jqnW,r2BkgXmBLUM
708,"[88, 184, 380, 514, 614]",indoors,KWpX,ocEwAaSEKN4
709,"[43, 60, 101, 286, 571]",outdoors,FtpX,poVGRaniaZQ
710,"[60, 511]",outdoors,LQpX,3lmPWN891PU
711,"[43, 60, 1824]",outdoors,qWpX,VIfP9yeauDM
712,"[2, 43, 60, 76, 385]",outdoors,F6pX,gKvlwwhPoC4
713,"[289, 666]",outdoors,uepX,iGsx2TgtPUk
714,"[88, 184, 191, 364, 380, 416, 514, 1013]",indoors,EnpX,DROgTYmqN1E
715,[184],indoors,LcpX,GkgkwnAsn2U
716,[1245],indoors,rmpX,-c5I0l6mj_Y
717,"[2, 17, 30, 53, 55, 58, 60, 232, 340]",outdoors,15pX,x6QcHFzwE84
718,"[184, 191, 299]",indoors,IRpX,uCvL2szNzhM
719,"[248, 958]",outdoors,ALpX,qdaiiWSATho
720,[666],outdoors,HlpX,wIGHmmBui5g
721,"[18, 43, 59, 60, 101]",outdoors,xppX,ZIT5Osruve8
722,[307],indoors,IXpX,Rr_JlW9WJb4
723,"[15, 18, 60, 87]",outdoors,y6pX,V0tDJyabAGk
724,"[60, 365, 1696]",outdoors,D8qd,lzX3zLBleCE
725,[248],outdoors,coqd,m2fJsqafozc
726,"[49, 80, 127, 277, 770, 787, 2211, 2274, 3030]",outdoors,k2qd,1xaSZPuxNQs
727,"[15, 262, 502, 619]",outdoors,piqd,BS6_Vi8AZHo
728,"[2, 18, 43, 59, 60, 76, 101, 286, 385]",outdoors,Gpqd,zozyiL5GM6U
729,"[60, 353, 1393]",outdoors,tNqd,SYGnOdSMReM
730,"[2, 60, 76, 385, 1055]",outdoors,YQqd,pyZthRr_wgs
